epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,30336.3,1.0058,0.49314,0.97904,0.95618,0.94245,0.97698,0.75669,0.82516,0.37876,0.92509,0.003763,0.003763,0.003763
128,30563.9,1.00469,0.49247,0.97752,0.95684,0.94268,0.9771,0.75708,0.82413,0.37814,0.9246,0.0037135,0.0037135,0.0037135
129,30819.8,1.00226,0.4946,0.97617,0.95576,0.94395,0.9772,0.75748,0.82303,0.37756,0.92407,0.003664,0.003664,0.003664
130,31059.2,0.99646,0.48824,0.97813,0.95658,0.94349,0.97728,0.75818,0.82218,0.37688,0.92362,0.0036145,0.0036145,0.0036145
131,31291.3,1.00782,0.49244,0.97731,0.95756,0.94338,0.97738,0.75888,0.82111,0.37627,0.9231,0.003565,0.003565,0.003565
132,31523.7,1.00116,0.48851,0.97458,0.95749,0.94381,0.97745,0.75923,0.82009,0.37585,0.92259,0.0035155,0.0035155,0.0035155
133,31766.6,0.98504,0.48379,0.97669,0.95821,0.94365,0.97756,0.7597,0.81904,0.37512,0.92211,0.003466,0.003466,0.003466
134,32020.2,0.99412,0.48509,0.97223,0.9587,0.94343,0.97764,0.76005,0.81808,0.37458,0.92165,0.0034165,0.0034165,0.0034165
135,32271.9,0.99511,0.48479,0.97296,0.95902,0.943,0.97761,0.7606,0.81698,0.37395,0.92114,0.003367,0.003367,0.003367
136,32508.1,1.00058,0.48609,0.97417,0.95939,0.94315,0.9777,0.76084,0.81602,0.37344,0.92065,0.0033175,0.0033175,0.0033175
137,32735.6,0.9904,0.48288,0.97045,0.95977,0.94359,0.97783,0.76114,0.81516,0.37285,0.9202,0.003268,0.003268,0.003268
138,32972,0.98461,0.47925,0.97003,0.96017,0.94311,0.97801,0.76164,0.81429,0.37243,0.91977,0.0032185,0.0032185,0.0032185
139,33218.7,0.97627,0.47824,0.96786,0.96047,0.9434,0.97809,0.762,0.8133,0.37188,0.9193,0.003169,0.003169,0.003169
140,33456.5,0.98625,0.47915,0.97076,0.96089,0.94324,0.97812,0.76262,0.81234,0.37143,0.91882,0.0031195,0.0031195,0.0031195
141,33683.5,0.98235,0.47979,0.97385,0.96148,0.94336,0.97822,0.76285,0.81131,0.37091,0.91834,0.00307,0.00307,0.00307
142,33914.8,0.97323,0.4733,0.96718,0.96179,0.94344,0.97828,0.76286,0.81037,0.37031,0.9179,0.0030205,0.0030205,0.0030205
143,34160.2,0.98375,0.47713,0.96969,0.96166,0.9434,0.97832,0.76336,0.80941,0.36986,0.91745,0.002971,0.002971,0.002971
144,34403.6,0.97366,0.47156,0.96636,0.96244,0.94336,0.97846,0.76367,0.80855,0.36938,0.91707,0.0029215,0.0029215,0.0029215
145,34637.2,0.96863,0.47032,0.96533,0.96285,0.94359,0.97864,0.76399,0.8076,0.36883,0.91664,0.002872,0.002872,0.002872
146,34871.4,0.96843,0.46925,0.96536,0.96295,0.94349,0.97876,0.76434,0.80673,0.36833,0.91623,0.0028225,0.0028225,0.0028225
147,35102.1,0.97032,0.46917,0.96296,0.96359,0.944,0.979,0.76459,0.8059,0.3679,0.91584,0.002773,0.002773,0.002773
148,35349.6,0.97262,0.46822,0.96245,0.96344,0.9443,0.97911,0.76511,0.80502,0.36744,0.91542,0.0027235,0.0027235,0.0027235
149,35593.4,0.96093,0.46556,0.96466,0.96308,0.94493,0.97912,0.7656,0.80424,0.36696,0.915,0.002674,0.002674,0.002674
150,35833.8,0.96126,0.4667,0.96323,0.96325,0.94524,0.97917,0.76558,0.80327,0.36647,0.91457,0.0026245,0.0026245,0.0026245
151,36066.9,0.95953,0.46379,0.96152,0.96303,0.94547,0.97914,0.76623,0.80234,0.36605,0.91418,0.002575,0.002575,0.002575
152,36303.2,0.95906,0.46392,0.96014,0.96341,0.94545,0.97926,0.76661,0.80138,0.36548,0.91377,0.0025255,0.0025255,0.0025255
153,36550.3,0.96349,0.4642,0.9599,0.96367,0.94498,0.97916,0.76698,0.80053,0.36513,0.91338,0.002476,0.002476,0.002476
154,36789.1,0.95301,0.45992,0.95853,0.96367,0.94512,0.97924,0.7674,0.7998,0.36469,0.91303,0.0024265,0.0024265,0.0024265
155,37016,0.95063,0.45898,0.961,0.96438,0.94494,0.97927,0.76787,0.79896,0.36428,0.91264,0.002377,0.002377,0.002377
156,37243.7,0.94806,0.45674,0.95522,0.96387,0.94532,0.97941,0.76813,0.79814,0.36385,0.91229,0.0023275,0.0023275,0.0023275
157,37481.6,0.95437,0.45917,0.9547,0.96362,0.9465,0.97959,0.76855,0.79732,0.36352,0.91195,0.002278,0.002278,0.002278
158,37719.7,0.94661,0.4533,0.95561,0.96398,0.94672,0.97971,0.76894,0.79662,0.36304,0.91158,0.0022285,0.0022285,0.0022285
159,37961.6,0.94962,0.45813,0.95761,0.96436,0.94658,0.97975,0.76927,0.79578,0.36245,0.9112,0.002179,0.002179,0.002179
160,38185.2,0.94052,0.45217,0.95398,0.96427,0.94669,0.97984,0.76991,0.79485,0.36202,0.9108,0.0021295,0.0021295,0.0021295
161,38402.9,0.94144,0.45046,0.95242,0.96387,0.94722,0.97991,0.77018,0.79391,0.36151,0.9104,0.00208,0.00208,0.00208
162,38625.7,0.94513,0.45331,0.95586,0.96427,0.94748,0.97994,0.77034,0.79305,0.36109,0.91003,0.0020305,0.0020305,0.0020305
163,38857,0.94289,0.45305,0.9549,0.96446,0.94772,0.9801,0.77068,0.7921,0.36059,0.90962,0.001981,0.001981,0.001981
164,39086,0.9385,0.44914,0.9512,0.96447,0.94792,0.98021,0.77112,0.79118,0.36016,0.90922,0.0019315,0.0019315,0.0019315
165,39308.8,0.93324,0.44985,0.95266,0.96422,0.94813,0.98041,0.7713,0.79019,0.35968,0.90881,0.001882,0.001882,0.001882
166,39553,0.93137,0.44665,0.94987,0.96411,0.94865,0.98054,0.77181,0.7894,0.35929,0.90845,0.0018325,0.0018325,0.0018325
167,39771.6,0.92583,0.4442,0.94918,0.96398,0.94862,0.98058,0.77201,0.78861,0.35892,0.90809,0.001783,0.001783,0.001783
168,39990.3,0.92797,0.44464,0.95018,0.96414,0.94876,0.98065,0.77246,0.78783,0.35855,0.90775,0.0017335,0.0017335,0.0017335
169,40211.2,0.92968,0.44467,0.94996,0.96446,0.9489,0.9807,0.77244,0.78708,0.35815,0.90741,0.001684,0.001684,0.001684
170,40430.1,0.9191,0.44167,0.94748,0.96471,0.949,0.98079,0.77281,0.78625,0.35771,0.90704,0.0016345,0.0016345,0.0016345
171,40648.5,0.9192,0.43936,0.94588,0.96469,0.9497,0.98082,0.77351,0.78527,0.3573,0.90663,0.001585,0.001585,0.001585
172,40878.5,0.92087,0.43992,0.94761,0.96479,0.94933,0.98086,0.77374,0.78439,0.35696,0.90624,0.0015355,0.0015355,0.0015355
173,41113.4,0.92138,0.4395,0.94683,0.96453,0.94965,0.98095,0.77431,0.78356,0.35656,0.90587,0.001486,0.001486,0.001486
174,41331.1,0.92163,0.44002,0.94831,0.96478,0.94981,0.98106,0.77486,0.78263,0.35627,0.90553,0.0014365,0.0014365,0.0014365
175,41551,0.91697,0.43825,0.94682,0.96507,0.95002,0.98106,0.7752,0.78175,0.35584,0.90519,0.001387,0.001387,0.001387
176,41768.2,0.90869,0.43523,0.94414,0.965,0.95002,0.98111,0.77549,0.78077,0.35539,0.90481,0.0013375,0.0013375,0.0013375
177,41987.7,0.90979,0.43325,0.94164,0.9653,0.95023,0.9812,0.77579,0.77995,0.35506,0.90446,0.001288,0.001288,0.001288
178,42207.6,0.91333,0.43503,0.94502,0.9659,0.94976,0.98123,0.77613,0.77907,0.35458,0.9041,0.0012385,0.0012385,0.0012385
179,42449.6,0.90618,0.43042,0.94087,0.96628,0.9498,0.98133,0.77642,0.77814,0.35422,0.90373,0.001189,0.001189,0.001189
180,42703.2,0.90956,0.43222,0.94277,0.96667,0.94973,0.98142,0.77686,0.77726,0.35386,0.90336,0.0011395,0.0011395,0.0011395
